movieId,prefix,title,alt,title year,alt year,title duplicate,alt duplicate
1,-,toy story,-,toy story (1995),-,-,-
6,-,heat,-,heat (1995),-,-,-
16,-,casino,-,casino (1995),-,-,-
17,-,sense and sensibility,-,sense and sensibility (1995),-,-,-
28,-,persuasion,-,persuasion (1995),-,persuasion,-
29,the,city of lost children,"cité des enfants perdus, la",city of lost children(1995),"cité des enfants perdus, la (1995)",-,-
32,-,twelve monkeys,12 monkeys,twelve monkeys (1995),12 monkeys (1995),-,-
36,-,dead man walking,-,dead man walking (1995),-,-,-
41,-,richard iii,-,richard iii (1995),-,-,-
47,-,seven,se7en,seven (1995),se7en (1995),-,-
50,the,usual suspects,-,usual suspects(1995),-,-,-
58,the,postman,"postino, il",postman(1994),"postino, il (1994)",-,-
82,-,antonia's line,antonia,antonia's line (1995),antonia (1995),-,-
97,-,hate,"haine, la",hate (1995),"haine, la (1995)",-,-
110,-,braveheart,-,braveheart (1995),-,-,-
111,-,taxi driver,-,taxi driver (1976),-,-,-
116,-,anne frank remembered,-,anne frank remembered (1995),-,-,-
123,-,chungking express,chung hing sam lam,chungking express (1994),chung hing sam lam (1994),-,-
150,-,apollo 13,-,apollo 13 (1995),-,-,-
162,-,crumb,-,crumb (1994),-,-,-
176,-,living in oblivion,-,living in oblivion (1995),-,-,-
194,-,smoke,-,smoke (1995),-,-,-
213,-,burnt by the sun,utomlyonnye solntsem,burnt by the sun (1994),utomlyonnye solntsem (1994),-,-
214,-,before the rain,pred dozhdot,before the rain (1994),pred dozhdot (1994),-,-
215,-,before sunrise,-,before sunrise (1995),-,-,-
223,-,clerks,-,clerks (1994),-,-,-
232,-,eat drink man woman,yin shi nan nu,eat drink man woman (1994),yin shi nan nu (1994),-,-
246,-,hoop dreams,-,hoop dreams (1994),-,-,-
247,-,heavenly creatures,-,heavenly creatures (1994),-,-,-
260,-,star wars: episode iv - a new hope,-,star wars: episode iv - a new hope (1977),-,-,-
265,-,like water for chocolate,como agua para chocolate,like water for chocolate (1992),como agua para chocolate (1992),-,-
290,-,once were warriors,-,once were warriors (1994),-,-,-
293,-,léon: the professional,the professional,léon: the professional (1994),the professional (1994),-,-
296,-,pulp fiction,-,pulp fiction (1994),-,-,-
306,-,three colors: red,trois couleurs: rouge,three colors: red (1994),trois couleurs: rouge (1994),-,-
307,-,three colors: blue,trois couleurs: bleu,three colors: blue (1993),trois couleurs: bleu (1993),-,-
308,-,three colors: white,trzy kolory: bialy,three colors: white (1994),trzy kolory: bialy (1994),-,-
314,the,secret of roan inish,-,secret of roan inish(1994),-,-,-
318,the,shawshank redemption,-,shawshank redemption(1994),-,-,-
326,-,to live,huozhe,to live (1994),huozhe (1994),-,-
334,-,vanya on 42nd street,-,vanya on 42nd street (1994),-,-,-
356,-,forrest gump,-,forrest gump (1994),-,-,-
363,the,"wonderful, horrible life of leni riefenstahl","macht der bilder: leni riefenstahl, die","wonderful, horrible life of leni riefenstahl(1993)","macht der bilder: leni riefenstahl, die (1993)",-,-
364,the,lion king,-,lion king(1994),-,-,-
428,a,bronx tale,-,bronx tale(1993),-,-,-
446,-,farewell my concubine,ba wang bie ji,farewell my concubine (1993),ba wang bie ji (1993),-,-
456,-,fresh,-,fresh (1994),-,-,-
457,the,fugitive,-,fugitive(1993),-,-,-
475,-,in the name of the father,-,in the name of the father (1993),-,-,-
497,-,much ado about nothing,-,much ado about nothing (1993),-,-,-
501,-,naked,-,naked (1993),-,-,-
508,-,philadelphia,-,philadelphia (1993),-,-,-
515,the,remains of the day,-,remains of the day(1993),-,-,-
527,-,schindler's list,-,schindler's list (1993),-,-,-
529,-,searching for bobby fischer,-,searching for bobby fischer (1993),-,-,-
534,-,shadowlands,-,shadowlands (1993),-,-,-
541,-,blade runner,-,blade runner (1982),-,-,-
549,-,thirty-two short films about glenn gould,-,thirty-two short films about glenn gould (1993),-,-,-
555,-,true romance,-,true romance (1993),-,-,-
556,the,war room,-,war room(1993),-,-,-
581,the,celluloid closet,-,celluloid closet(1995),-,-,-
589,-,terminator 2: judgment day,-,terminator 2: judgment day (1991),-,-,-
593,the,silence of the lambs,-,silence of the lambs(1991),-,-,-
599,the,wild bunch,-,wild bunch(1969),-,-,-
602,a,great day in harlem,-,great day in harlem(1994),-,-,-
608,-,fargo,-,fargo (1996),-,-,-
615,-,bread and chocolate,pane e cioccolata,bread and chocolate (1973),pane e cioccolata (1973),-,-
632,-,land and freedom,tierra y libertad,land and freedom (1995),tierra y libertad (1995),-,-
665,-,underground,-,underground (1995),-,-,-
668,-,song of the little road,pather panchali,song of the little road (1955),pather panchali (1955),-,-
670,the,world of apu,apur sansar,world of apu(1959),apur sansar (1959),-,-
678,-,some folks call it a sling blade,-,some folks call it a sling blade (1993),-,-,-
714,-,dead man,-,dead man (1995),-,-,-
720,-,wallace & gromit: the best of aardman animation,-,wallace & gromit: the best of aardman animation (1996),-,-,-
728,-,cold comfort farm,-,cold comfort farm (1995),-,-,-
741,-,ghost in the shell,kôkaku kidôtai,ghost in the shell (1995),kôkaku kidôtai (1995),-,-
745,-,wallace & gromit: a close shave,-,wallace & gromit: a close shave (1995),-,-,-
750,-,dr. strangelove or: how i learned to stop worrying and love the bomb,-,dr. strangelove or: how i learned to stop worrying and love the bomb (1964),-,-,-
759,-,maya lin: a strong clear vision,-,maya lin: a strong clear vision (1994),-,-,-
778,-,trainspotting,-,trainspotting (1996),-,-,-
800,-,lone star,-,lone star (1996),-,-,-
858,the,godfather,-,godfather(1972),-,-,-
898,the,philadelphia story,-,philadelphia story(1940),-,-,-
899,-,singin' in the rain,-,singin' in the rain (1952),-,-,-
902,-,breakfast at tiffany's,-,breakfast at tiffany's (1961),-,-,-
903,-,vertigo,-,vertigo (1958),-,-,-
904,-,rear window,-,rear window (1954),-,-,-
905,-,it happened one night,-,it happened one night (1934),-,-,-
906,-,gaslight,-,gaslight (1944),-,-,-
907,the,gay divorcee,-,gay divorcee(1934),-,-,-
908,-,north by northwest,-,north by northwest (1959),-,-,-
909,the,apartment,-,apartment(1960),-,-,-
910,-,some like it hot,-,some like it hot (1959),-,-,-
911,-,charade,-,charade (1963),-,-,-
912,-,casablanca,-,casablanca (1942),-,-,-
913,the,maltese falcon,-,maltese falcon(1941),-,maltese falcon,-
914,-,my fair lady,-,my fair lady (1964),-,-,-
915,-,sabrina,-,sabrina (1954),-,-,-
916,-,roman holiday,-,roman holiday (1953),-,-,-
919,the,wizard of oz,-,wizard of oz(1939),-,-,-
920,-,gone with the wind,-,gone with the wind (1939),-,-,-
922,-,sunset blvd.,sunset boulevard,sunset blvd. (1950),sunset boulevard (1950),-,-
923,-,citizen kane,-,citizen kane (1941),-,-,-
924,-,2001: a space odyssey,-,2001: a space odyssey (1968),-,-,-
926,-,all about eve,-,all about eve (1950),-,-,-
927,the,women,-,women(1939),-,-,-
928,-,rebecca,-,rebecca (1940),-,-,-
929,-,foreign correspondent,-,foreign correspondent (1940),-,-,-
930,-,notorious,-,notorious (1946),-,-,-
931,-,spellbound,-,spellbound (1945),-,spellbound,-
932,-,"affair to remember, an",-,"affair to remember, an (1957)",-,-,-
933,-,to catch a thief,-,to catch a thief (1955),-,-,-
936,-,ninotchka,-,ninotchka (1939),-,-,-
940,the,adventures of robin hood,-,adventures of robin hood(1938),-,-,-
942,-,laura,-,laura (1944),-,-,-
943,the,ghost and mrs. muir,-,ghost and mrs. muir(1947),-,-,-
944,-,lost horizon,-,lost horizon (1937),-,-,-
945,-,top hat,-,top hat (1935),-,-,-
946,-,to be or not to be,-,to be or not to be (1942),-,-,-
947,-,my man godfrey,-,my man godfrey (1936),-,my man godfrey,-
949,-,east of eden,-,east of eden (1955),-,-,-
950,the,thin man,-,thin man(1934),-,-,-
951,-,his girl friday,-,his girl friday (1940),-,-,-
953,-,it's a wonderful life,-,it's a wonderful life (1946),-,-,-
954,-,mr. smith goes to washington,-,mr. smith goes to washington (1939),-,-,-
955,-,bringing up baby,-,bringing up baby (1938),-,-,-
965,the,39 steps,-,39 steps(1935),-,-,-
969,the,african queen,-,african queen(1951),-,-,-
971,-,cat on a hot tin roof,-,cat on a hot tin roof (1958),-,-,-
973,-,meet john doe,-,meet john doe (1941),-,-,-
994,-,big night,-,big night (1996),-,-,-
1035,the,sound of music,-,sound of music(1965),-,-,-
1036,-,die hard,-,die hard (1988),-,-,-
1041,-,secrets & lies,-,secrets & lies (1996),-,-,-
1046,-,beautiful thing,-,beautiful thing (1996),-,-,-
1060,-,swingers,-,swingers (1996),-,-,-
1066,-,shall we dance,-,shall we dance (1937),-,-,-
1069,-,"murder, my sweet",-,"murder, my sweet (1944)",-,-,-
1076,the,innocents,-,innocents(1961),-,-,-
1077,-,sleeper,-,sleeper (1973),-,-,-
1079,a,fish called wanda,-,fish called wanda(1988),-,-,-
1080,-,monty python's life of brian,-,monty python's life of brian (1979),-,-,-
1084,-,bonnie and clyde,-,bonnie and clyde (1967),-,-,-
1086,-,dial m for murder,-,dial m for murder (1954),-,-,-
1089,-,reservoir dogs,-,reservoir dogs (1992),-,-,-
1090,-,platoon,-,platoon (1986),-,-,-
1095,-,glengarry glen ross,-,glengarry glen ross (1992),-,-,-
1096,-,sophie's choice,-,sophie's choice (1982),-,-,-
1099,a,christmas carol,-,christmas carol(1938),-,christmas carol,-
1104,a,streetcar named desire,-,streetcar named desire(1951),-,-,-
1111,-,microcosmos,microcosmos: le peuple de l'herbe,microcosmos (1996),microcosmos: le peuple de l'herbe (1996),-,-
1131,-,jean de florette,-,jean de florette (1986),-,-,-
1132,-,manon of the spring,manon des sources,manon of the spring (1986),manon des sources (1986),-,-
1136,-,monty python and the holy grail,-,monty python and the holy grail (1975),-,-,-
1147,-,when we were kings,-,when we were kings (1996),-,-,-
1148,-,wallace & gromit: the wrong trousers,-,wallace & gromit: the wrong trousers (1993),-,-,-
1150,the,return of martin guerre,"retour de martin guerre, le",return of martin guerre(1982),"retour de martin guerre, le (1982)",-,-
1169,-,american dream,-,american dream (1990),-,-,-
1172,-,cinema paradiso,nuovo cinema paradiso,cinema paradiso (1989),nuovo cinema paradiso (1989),-,-
1175,-,delicatessen,-,delicatessen (1991),-,-,-
1176,the,double life of veronique,"double vie de véronique, la",double life of veronique(1991),"double vie de véronique, la (1991)",-,-
1177,-,enchanted april,-,enchanted april (1992),-,-,-
1178,-,paths of glory,-,paths of glory (1957),-,-,-
1185,-,my left foot,-,my left foot (1989),-,-,-
1189,the,thin blue line,-,thin blue line(1988),-,-,-
1192,-,paris is burning,-,paris is burning (1990),-,-,-
1193,-,one flew over the cuckoo's nest,-,one flew over the cuckoo's nest (1975),-,-,-
1196,-,star wars: episode v - the empire strikes back,-,star wars: episode v - the empire strikes back (1980),-,-,-
1197,the,princess bride,-,princess bride(1987),-,-,-
1198,-,raiders of the lost ark,indiana jones and the raiders of the lost ark,raiders of the lost ark (1981),indiana jones and the raiders of the lost ark (1981),-,-
1199,-,brazil,-,brazil (1985),-,-,-
1200,-,aliens,-,aliens (1986),-,-,-
1201,the,"good, the bad and the ugly","buono, il brutto, il cattivo, il","good, the bad and the ugly(1966)","buono, il brutto, il cattivo, il (1966)",-,-
1202,-,withnail & i,-,withnail & i (1987),-,-,-
1203,-,12 angry men,-,12 angry men (1957),-,12 angry men,-
1204,-,lawrence of arabia,-,lawrence of arabia (1962),-,-,-
1206,a,clockwork orange,-,clockwork orange(1971),-,-,-
1207,-,to kill a mockingbird,-,to kill a mockingbird (1962),-,-,-
1208,-,apocalypse now,-,apocalypse now (1979),-,-,-
1209,-,once upon a time in the west,c'era una volta il west,once upon a time in the west (1968),c'era una volta il west (1968),-,-
1210,-,star wars: episode vi - return of the jedi,-,star wars: episode vi - return of the jedi (1983),-,-,-
1211,-,wings of desire,"himmel über berlin, der",wings of desire (1987),"himmel über berlin, der (1987)",-,-
1212,the,third man,-,third man(1949),-,-,-
1213,-,goodfellas,-,goodfellas (1990),-,-,-
1214,-,alien,-,alien (1979),-,-,-
1216,the,big blue,"grand bleu, le",big blue(1988),"grand bleu, le (1988)",-,-
1217,-,ran,-,ran (1985),-,-,-
1218,the,killer,die xue shuang xiong,killer(1989),die xue shuang xiong (1989),-,-
1219,-,psycho,-,psycho (1960),-,-,-
1221,the,godfather: part ii,-,godfather: part ii(1974),-,-,-
1222,-,full metal jacket,-,full metal jacket (1987),-,-,-
1223,a,grand day out with wallace and gromit,-,grand day out with wallace and gromit(1989),-,-,-
1224,-,henry v,-,henry v (1989),-,-,-
1225,-,amadeus,-,amadeus (1984),-,-,-
1226,the,quiet man,-,quiet man(1952),-,-,-
1227,-,once upon a time in america,-,once upon a time in america (1984),-,-,-
1228,-,raging bull,-,raging bull (1980),-,-,-
1230,-,annie hall,-,annie hall (1977),-,-,-
1231,the,right stuff,-,right stuff(1983),-,-,-
1232,-,stalker,-,stalker (1979),-,-,-
1233,-,"boot, das","boat, the","boot, das (1981)","boat, the (1981)",-,-
1234,the,sting,-,sting(1973),-,-,-
1235,-,harold and maude,-,harold and maude (1971),-,-,-
1236,-,trust,-,trust (1990),-,-,-
1237,the,seventh seal,"sjunde inseglet, det",seventh seal(1957),"sjunde inseglet, det (1957)",-,-
1238,-,local hero,-,local hero (1983),-,-,-
1240,the,terminator,-,terminator(1984),-,-,-
1242,-,glory,-,glory (1989),-,-,-
